               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.066074,            0.040432,           0.0048461,             0.57841,             0.57957,             0.57102,             0.36247,            0.061286,            0.051037,           0.0053025,          0.00014735,          0.00014735,          0.00014735
                  46,            0.065908,            0.040361,           0.0048457,             0.61739,             0.54471,             0.57512,             0.36598,            0.061232,            0.051033,           0.0052834,          0.00014225,          0.00014225,          0.00014225
                  47,            0.065769,            0.040156,            0.004859,             0.58946,             0.57233,             0.57312,             0.36579,             0.06121,            0.050928,           0.0052783,          0.00013719,          0.00013719,          0.00013719
                  48,            0.065774,            0.040691,             0.00484,             0.61425,             0.55838,             0.57455,             0.36611,            0.061163,            0.050997,           0.0052696,          0.00013217,          0.00013217,          0.00013217
                  49,            0.065647,            0.040206,           0.0047904,             0.58382,             0.57774,             0.57481,             0.36685,            0.061194,            0.051064,           0.0052769,          0.00012721,          0.00012721,          0.00012721
                  50,            0.065295,            0.040105,           0.0047231,             0.61257,             0.56352,              0.5764,             0.36794,             0.06116,            0.051115,           0.0052537,          0.00012231,          0.00012231,          0.00012231
                  51,            0.065478,            0.040449,           0.0047346,             0.61899,              0.5597,             0.57866,             0.36899,            0.061126,            0.051008,            0.005259,          0.00011749,          0.00011749,          0.00011749
                  52,            0.065154,            0.040176,           0.0047116,             0.62718,             0.55045,              0.5769,             0.36836,            0.061055,            0.051043,           0.0052331,          0.00011274,          0.00011274,          0.00011274
                  53,            0.065501,            0.040264,            0.004737,             0.61486,             0.56586,             0.57994,             0.37073,            0.061051,            0.051099,           0.0052606,          0.00010807,          0.00010807,          0.00010807
                  54,            0.064789,            0.039725,           0.0046302,             0.61744,             0.56288,             0.57867,             0.36877,            0.061178,            0.051211,           0.0052573,           0.0001035,           0.0001035,           0.0001035
                  55,            0.064856,            0.039203,           0.0046169,             0.62246,             0.55006,             0.57863,             0.37037,            0.061021,            0.051278,           0.0052567,           9.903e-05,           9.903e-05,           9.903e-05
                  56,            0.064636,            0.038989,           0.0045997,             0.60975,             0.56322,             0.57791,             0.36983,            0.061085,            0.051223,           0.0052463,          9.4665e-05,          9.4665e-05,          9.4665e-05
                  57,            0.064441,             0.03924,           0.0046102,             0.60997,             0.55999,             0.58017,             0.37195,            0.061029,            0.051211,           0.0052343,          9.0412e-05,          9.0412e-05,          9.0412e-05
                  58,            0.064701,            0.039695,           0.0045859,             0.58723,             0.58114,             0.57872,             0.37012,             0.06106,            0.051274,           0.0052306,           8.628e-05,           8.628e-05,           8.628e-05
                  59,            0.064418,            0.039717,           0.0045561,             0.61127,             0.56504,               0.583,             0.37307,            0.060991,            0.051248,           0.0052173,          8.2273e-05,          8.2273e-05,          8.2273e-05
                  60,            0.063971,            0.038892,           0.0045286,              0.6062,             0.56943,              0.5793,             0.37081,            0.061123,            0.051525,           0.0052325,          7.8398e-05,          7.8398e-05,          7.8398e-05
                  61,            0.064108,            0.039553,            0.004551,             0.59351,             0.57391,               0.579,             0.37056,            0.061104,            0.051535,           0.0052457,          7.4662e-05,          7.4662e-05,          7.4662e-05
                  62,            0.063804,            0.038716,           0.0044352,             0.61366,             0.56475,              0.5802,              0.3718,            0.061004,            0.051664,           0.0052222,          7.1069e-05,          7.1069e-05,          7.1069e-05
                  63,            0.063824,            0.039045,           0.0045152,             0.62997,             0.55197,             0.57963,             0.37157,            0.060963,            0.051679,           0.0052481,          6.7626e-05,          6.7626e-05,          6.7626e-05
                  64,            0.063641,            0.038532,           0.0044776,              0.6052,             0.56846,             0.58143,              0.3724,            0.061047,            0.051616,           0.0052371,          6.4338e-05,          6.4338e-05,          6.4338e-05
                  65,            0.063379,            0.038337,           0.0044217,              0.5974,             0.57777,             0.58111,             0.37239,            0.061078,            0.051703,           0.0052427,           6.121e-05,           6.121e-05,           6.121e-05
                  66,            0.063486,             0.03849,           0.0044515,             0.61541,             0.56735,             0.58163,             0.37258,            0.061031,            0.051856,           0.0052383,          5.8246e-05,          5.8246e-05,          5.8246e-05
                  67,             0.06324,            0.038532,           0.0043986,             0.62541,             0.56294,             0.58341,               0.374,            0.061077,            0.051832,           0.0052284,          5.5451e-05,          5.5451e-05,          5.5451e-05
                  68,            0.063042,            0.038049,           0.0043853,             0.61743,             0.56675,             0.58341,             0.37354,            0.061117,            0.051858,           0.0052351,          5.2831e-05,          5.2831e-05,          5.2831e-05
                  69,            0.063425,            0.038219,           0.0043497,             0.61955,             0.56363,             0.58168,             0.37241,            0.061173,            0.051974,           0.0052414,          5.0387e-05,          5.0387e-05,          5.0387e-05
                  70,            0.063087,            0.038321,            0.004343,              0.6014,             0.57654,             0.58282,             0.37348,            0.061116,            0.051889,           0.0052294,          4.8125e-05,          4.8125e-05,          4.8125e-05
                  71,            0.062782,            0.038213,           0.0043652,               0.627,             0.55977,             0.58427,             0.37469,            0.061125,            0.052029,           0.0052207,          4.6048e-05,          4.6048e-05,          4.6048e-05
                  72,            0.063013,            0.038038,           0.0043199,             0.61683,              0.5684,             0.58421,             0.37462,            0.061135,            0.051971,           0.0052248,          4.4159e-05,          4.4159e-05,          4.4159e-05
                  73,            0.062303,            0.037407,           0.0042657,             0.61922,             0.56765,             0.58499,             0.37548,            0.061117,            0.051984,           0.0052322,          4.2461e-05,          4.2461e-05,          4.2461e-05
                  74,            0.062795,            0.037979,           0.0042908,             0.64422,              0.5498,             0.58527,             0.37512,             0.06111,            0.052072,           0.0052298,          4.0956e-05,          4.0956e-05,          4.0956e-05
                  75,            0.062664,            0.038055,           0.0042952,             0.62998,             0.55967,             0.58335,              0.3742,            0.061127,              0.0521,           0.0052358,          3.9647e-05,          3.9647e-05,          3.9647e-05
                  76,            0.062545,            0.037918,           0.0042825,             0.63968,             0.55256,             0.58263,             0.37328,            0.061151,            0.052237,           0.0052452,          3.8536e-05,          3.8536e-05,          3.8536e-05
                  77,            0.062629,            0.038217,           0.0042813,             0.61996,             0.56424,             0.58207,             0.37292,            0.061146,            0.052232,           0.0052369,          3.7625e-05,          3.7625e-05,          3.7625e-05
                  78,            0.062562,            0.037924,           0.0042758,             0.64055,             0.55092,             0.58222,             0.37312,            0.061166,            0.052233,           0.0052391,          3.6915e-05,          3.6915e-05,          3.6915e-05
                  79,            0.062523,            0.037451,             0.00425,              0.6555,             0.53884,             0.58148,             0.37263,            0.061194,            0.052339,           0.0052382,          3.6407e-05,          3.6407e-05,          3.6407e-05
