epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,127105,1.16111,0.49278,0.9882,0.914,0.62632,0.68919,0.37406,2.04295,1.77198,0.97927,0.005248,0.005248,0.005248
98,128415,1.16062,0.49372,0.98806,0.91393,0.62604,0.68918,0.37464,2.04304,1.77144,0.9782,0.0051985,0.0051985,0.0051985
99,129725,1.15605,0.49115,0.98701,0.9125,0.62589,0.68874,0.37434,2.04056,1.7788,0.97731,0.005149,0.005149,0.005149
100,131035,1.15398,0.49056,0.98678,0.91314,0.62604,0.68831,0.3739,2.04068,1.79354,0.97786,0.0050995,0.0050995,0.0050995
101,132346,1.15595,0.49125,0.98665,0.91262,0.62618,0.68609,0.37224,2.04328,1.79956,0.97906,0.00505,0.00505,0.00505
102,133654,1.15536,0.49086,0.98576,0.91369,0.62529,0.68587,0.37193,2.04721,1.78693,0.98066,0.0050005,0.0050005,0.0050005
103,134964,1.15174,0.48909,0.98685,0.91542,0.62181,0.68544,0.37136,2.05318,1.80329,0.98249,0.004951,0.004951,0.004951
104,136274,1.15311,0.48893,0.98558,0.91418,0.62092,0.68618,0.37186,2.05707,1.80722,0.98469,0.0049015,0.0049015,0.0049015
105,137583,1.14921,0.48782,0.9845,0.90948,0.62169,0.68523,0.3714,2.05566,1.80765,0.98349,0.004852,0.004852,0.004852
106,138892,1.14633,0.48706,0.98352,0.91235,0.62125,0.68445,0.37138,2.05153,1.80483,0.9827,0.0048025,0.0048025,0.0048025
107,140201,1.14654,0.48559,0.98407,0.91396,0.62216,0.68485,0.37195,2.04493,1.79734,0.98104,0.004753,0.004753,0.004753
