               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.047292,            0.011082,            0.003807,             0.67747,             0.56387,             0.60822,             0.39206,            0.045411,             0.01351,           0.0045124,          5.2831e-05,          5.2831e-05,          5.2831e-05
                  69,            0.047328,            0.011051,           0.0037815,             0.64568,             0.58322,             0.60783,             0.39174,            0.045443,            0.013503,           0.0045156,          5.0387e-05,          5.0387e-05,          5.0387e-05
                  70,            0.047106,            0.010849,           0.0037879,             0.64412,             0.58158,             0.60615,              0.3907,            0.045445,            0.013528,           0.0045248,          4.8125e-05,          4.8125e-05,          4.8125e-05
                  71,            0.047054,            0.010867,           0.0037634,             0.64741,             0.58048,             0.60704,              0.3913,            0.045431,            0.013524,           0.0045368,          4.6048e-05,          4.6048e-05,          4.6048e-05
                  72,            0.046897,            0.010903,           0.0037522,             0.65296,             0.57736,             0.60728,             0.39085,            0.045487,            0.013531,           0.0045443,          4.4159e-05,          4.4159e-05,          4.4159e-05
                  73,            0.046777,            0.010804,           0.0036914,             0.63048,             0.59329,             0.60697,             0.39148,            0.045482,            0.013532,            0.004546,          4.2461e-05,          4.2461e-05,          4.2461e-05
                  74,            0.046536,            0.010739,           0.0036843,              0.6703,             0.56646,             0.60823,             0.39137,            0.045457,             0.01354,           0.0045339,          4.0956e-05,          4.0956e-05,          4.0956e-05
                  75,            0.046511,            0.010918,           0.0036737,             0.66085,             0.57584,             0.60812,             0.39208,            0.045434,             0.01354,           0.0045394,          3.9647e-05,          3.9647e-05,          3.9647e-05
                  76,            0.046416,            0.010779,           0.0036469,             0.66915,             0.56422,             0.60705,             0.39182,            0.045445,            0.013553,           0.0045412,          3.8536e-05,          3.8536e-05,          3.8536e-05
                  77,            0.046447,            0.010776,           0.0036336,             0.65353,             0.57887,             0.60842,             0.39229,            0.045427,            0.013559,           0.0045303,          3.7625e-05,          3.7625e-05,          3.7625e-05
                  78,            0.046416,            0.010854,           0.0036405,             0.66965,             0.56842,             0.60718,             0.39078,             0.04545,            0.013543,           0.0045398,          3.6915e-05,          3.6915e-05,          3.6915e-05
                  79,            0.046285,            0.010558,           0.0035936,             0.63433,             0.59272,             0.60781,             0.39112,            0.045503,            0.013559,           0.0045355,          3.6407e-05,          3.6407e-05,          3.6407e-05
